match_id,win,teamId,firstBlood,firstTower,firstInhibitor,firstBaron,firstDragon,firstRiftHerald,towerKills,inhibitorKills,baron_diff,baronKills,dragon_diff,dragonKills,riftHeraldKills,kills,deaths,gold_diff_10,gold_10_mins,gold_diff_20,gold_20_mins,gold_diff,goldEarned,gold_spent_percentage_diff,goldSpent,gold_efficiency,totalDamageDealt,totalDamageDealtToChampions,visionScore,totalMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle
3626363609,Loss,Red,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,6,1,0,1,1,3,0,36,52,68,15343,-4229,35198,-5127,68636,0.03720758887456253,69125,-489,786789,116022,193,715,143,21
3611202365,Loss,Blue,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,-1,0,-2,1,0,17,26,-217,12983,-1676.9999999999964,31296.000000000004,-11850,46217,-0.1936851546097556,44308,1909,518157,82225,142,629,108,17
3611202365,Win,Red,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,9,2,1,1,2,3,1,26,17,217,13200,1676.9999999999964,32973,11850,58067,0.1936851546097556,53810,4257,680161,73006,179,679,107,22
3630923949,Loss,Blue,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,-3,0,1,14,32,-2647,12975,-9332,30063,-12233,35259,-0.3284202768858241,31755,3504,323046,44652,90,419,94,0
3630923949,Win,Red,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,6,1,0,0,3,3,0,32,15,2647,15622,9332,39395,12233,47492,0.3284202768858241,44233,3259,455488,55295,105,468,107,15
3641789297,Win,Blue,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,9,1,1,1,1,3,0,39,27,735,13374,-217,32255,9209,73778,0.0729075175853299,67853,5925,859508,113630,239,748,145,33
3641789297,Loss,Red,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,6,1,-1,0,-1,2,1,27,39,-735,12639,217,32472,-9209,64569,-0.0729075175853299,63080,1489,785795,91340,209,752,146,6
3644631442,Loss,Blue,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,0,1,1,2,3,1,17,18,2039,14409,2043.0000000000036,33252,-3525,54773,0.09112104138333009,53815,958,640929,72917,137,698,124,5
3644631442,Win,Red,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,7,1,-1,0,-2,1,0,18,17,-2039,12370,-2043.0000000000036,31208.999999999996,3525,58298,-0.09112104138333009,49125,9173,742215,91525,199,802,150,17
3534142243,Win,Blue,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,5,0,1,1,2,2,2,25,10,2701.999999999998,15676.999999999998,11357,41447,12737,47421,0.38542629924172367,45143,2278,491674,56090,123,538,85,21
3534142243,Loss,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,-1,0,-2,0,0,10,25,-2701.999999999998,12975,-11357,30090,-12737,34684,-0.38542629924172367,30555,4129,389318,40243,93,533,80,0
3648387860,Loss,Blue,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,-1,0,-3,0,0,18,31,-3417,14333,-8192,33135,-13598,42475,-0.20485051360309803,41025,1450,437948,67950,107,528,92,4
3648387860,Win,Red,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,10,2,1,1,3,3,1,31,19,3417,17750,8192,41327,13598,56073,0.20485051360309803,50388,5685,593939,66390,159,574,99,49
3653485089,Win,Blue,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,0,0,0,2,3,2,23,13,581,12637,2134,34374,5052,45615,0.08043601321730888,39508,6107,411135,55602,118,491,66,21
3653485089,Loss,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,0,0,-2,1,0,13,23,-581,12056,-2134,32240,-5052,40563,-0.08043601321730888,36453,4110,399969,49600,130,581,80,24
3645741984,Loss,Blue,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,2,0,-1,0,-3,1,2,14,23,-1902,13690,-3295,31201,-4608,53958,-0.023983565047059386,51700,2258,715050,46302,151,756,158,12
3645741984,Win,Red,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,4,0,1,1,3,4,0,23,14,1902,15592,3295,34496,4608,58566,0.023983565047059386,52955,5611,743888,65575,164,742,139,12
3580996777,Loss,Blue,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,1,1,-4,0,0,15,33,-1236.9999999999982,13858.000000000002,-6257,30510,-10506,48212,-0.045891840995619604,47733,479,561958,79549,196,658,103,4
3580996777,Win,Red,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,6,1,-1,0,4,4,1,32,15,1236.9999999999982,15095,6257,36767,10506,58718,0.045891840995619604,49975,8743,708863,84117,178,734,117,35
3644518491,Win,Blue,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7,1,-1,0,3,3,2,34,21,383,16502,6633.999999999993,40384.99999999999,6332,52036,0.06670372429127293,46475,5561,526906,81322,140,495,107,20
3644518491,Loss,Red,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,2,0,1,1,-3,0,0,21,34,-383,16119,-6633.999999999993,33751,-6332,45704,-0.06670372429127293,43475,2229,438713,66962,118,487,104,10
3614257470,Win,Blue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,8,2,1,1,0,2,1,22,19,575,14206,-2864,33254,5494,66022,0.002046708210960705,60158,5864,818131,74062,232,810,132,35
3614257470,Loss,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,3,0,-1,0,0,2,1,19,22,-575,13631,2864,36118,-5494,60528,-0.002046708210960705,60035,493,838142,82395,215,832,151,38
3626073263,Win,Blue,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,9,1,-1,0,3,4,2,46,33,1082,14644,5299,35856,1072,69791,-0.021261950286806882,64680,5111,765614,132844,216,597,128,37
3626073263,Loss,Red,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,1,1,1,-3,1,0,33,46,-1082,13562,-5299,30557,-1072,68719,0.021261950286806882,66070,2649,587731,108849,161,582,109,8
3644938632,Loss,Blue,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,9,1,0,1,1,3,1,26,38,-2253,11916,523,35857,-6237,62060,-0.03645918870093611,59780,2280,762226,89730,193,727,110,46
3644938632,Win,Red,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,9,1,0,1,-1,2,1,38,26,2253,14169,-523,35334,6237,68297,0.03645918870093611,62000,6297,864751,92284,171,791,118,40
3609430234,Win,Blue,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,8,2,0,0,2,2,1,28,12,1402,14528,9974,40427,9914,43608,0.27467250808756327,39200,4408,361521,52810,109,436,58,24
3609430234,Loss,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,0,0,-2,0,0,12,29,-1402,13126,-9974,30453,-9914,33694,-0.27467250808756327,29733,3961,277440,30664,85,468,66,9
3617104838,Win,Blue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,11,1,1,1,3,3,2,27,10,4474,15730,12457,42061,15768,51254,0.3397213884399292,45600,5654,491881,60019,138,502,69,32
3617104838,Loss,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,0,-1,0,-3,0,0,10,27,-4474,11256,-12457,29604,-15768,35486,-0.3397213884399292,32358,3128,335912,38358,85,454,90,12
3590293565,Win,Blue,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,7,1,0,0,2,2,1,22,9,773.9999999999982,14242,4222.999999999996,35049,7598,44647,0.08694424841213833,36965,7682,456353,49589,126,591,97,22
3590293565,Loss,Red,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,1,0,0,0,-2,0,1,9,22,-773.9999999999982,13468.000000000002,-4222.999999999996,30826.000000000004,-7598,37049,-0.08694424841213833,33885,3164,405598,41442,98,548,103,4
3576920581,Win,Blue,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,3,1,1,4,4,1,48,29,1185.9999999999982,15364,5211.999999999996,37843,8582,69638,0.12238452427951046,67200,2438,772633,111513,181,708,111,44
3576920581,Loss,Red,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,2,0,-1,0,-4,0,0,29,48,-1185.9999999999982,14178.000000000002,-5211.999999999996,32631.000000000004,-8582,61056,-0.12238452427951046,59450,1606,711547,96328,113,734,121,17
3632342671,Win,Blue,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,8,1,-1,0,-4,0,1,38,49,-2074.999999999998,13369,-3300,35907,-3760,65198,-0.09264428274092838,59108,6090,640000,120651,207,653,109,15
3632342671,Loss,Red,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,4,0,1,1,4,4,0,49,38,2074.999999999998,15443.999999999998,3300,39207,3760,68958,0.09264428274092838,64850,4108,672729,114607,184,594,126,25
